"","state","gender","age","freq"
"139","North Dakota","Male","10.to.14",20053
"140","Ohio","Male","10.to.14",392512
"141","Oklahoma","Male","10.to.14",130236
"142","Oregon","Male","10.to.14",122920
"143","Pennsylvania","Male","10.to.14",402158
"144","Rhode Island","Male","10.to.14",32939
"145","South Carolina","Male","10.to.14",151140
"146","South Dakota","Male","10.to.14",28659
"147","Tennessee","Male","10.to.14",217086
"148","Texas","Male","10.to.14",960399
"149","Utah","Male","10.to.14",116669
"150","Vermont","Male","10.to.14",19428
"151","Virginia","Male","10.to.14",264241
"152","Washington","Male","10.to.14",223782
"153","West Virginia","Male","10.to.14",56646
"154","Wisconsin","Male","10.to.14",193021
"155","Wyoming","Male","10.to.14",19036
"156","Puerto Rico","Male","10.to.14",136988
"157","Alabama","Male","15.to.17",101478
"158","Alaska","Male","15.to.17",16383
"159","Arizona","Male","15.to.17",138931
"160","Arkansas","Male","15.to.17",60862
"161","California","Male","15.to.17",851857
"162","Colorado","Male","15.to.17",102876
"163","Connecticut","Male","15.to.17",77607
"164","Delaware","Male","15.to.17",18598
"165","District of Columbia","Male","15.to.17",8493
"166","Florida","Male","15.to.17",367280
"167","Georgia","Male","15.to.17",213533
"168","Hawaii","Male","15.to.17",26185
"169","Idaho","Male","15.to.17",36192
"170","Illinois","Male","15.to.17",281544
"171","Indiana","Male","15.to.17",142301
"172","Iowa","Male","15.to.17",63570
"173","Kansas","Male","15.to.17",61317
"174","Kentucky","Male","15.to.17",89894
"175","Louisiana","Male","15.to.17",96246
"176","Maine","Male","15.to.17",26532
"177","Maryland","Male","15.to.17",123516
"178","Massachusetts","Male","15.to.17",133515
"179","Michigan","Male","15.to.17",222521
"180","Minnesota","Male","15.to.17",113204
"181","Mississippi","Male","15.to.17",64864
"182","Missouri","Male","15.to.17",126712
"183","Montana","Male","15.to.17",20040
"184","Nebraska","Male","15.to.17",38568
"185","Nevada","Male","15.to.17",56780
"186","New Hampshire","Male","15.to.17",27999
"187","New Jersey","Male","15.to.17",189305
"188","New Mexico","Male","15.to.17",44604
"189","New York","Male","15.to.17",403279
"190","North Carolina","Male","15.to.17",195474
"191","North Dakota","Male","15.to.17",13500
"192","Ohio","Male","15.to.17",247960
"193","Oklahoma","Male","15.to.17",78848
"194","Oregon","Male","15.to.17",76807
"195","Pennsylvania","Male","15.to.17",264913
"196","Rhode Island","Male","15.to.17",21312
"197","South Carolina","Male","15.to.17",93737
"198","South Dakota","Male","15.to.17",17598
"199","Tennessee","Male","15.to.17",131596
"200","Texas","Male","15.to.17",577748
"201","Utah","Male","15.to.17",67024
"202","Vermont","Male","15.to.17",12637
"203","Virginia","Male","15.to.17",163260
"204","Washington","Male","15.to.17",139791
"205","West Virginia","Male","15.to.17",35047
"206","Wisconsin","Male","15.to.17",120874
"207","Wyoming","Male","15.to.17",11511
"208","Puerto Rico","Male","15.to.17",85860
"209","Alabama","Male","18.and.19",71202
"210","Alaska","Male","18.and.19",11069
"211","Arizona","Male","18.and.19",96527
"212","Arkansas","Male","18.and.19",43533
"213","California","Male","18.and.19",585628
"214","Colorado","Male","18.and.19",73396
"215","Connecticut","Male","18.and.19",52813
"216","Delaware","Male","18.and.19",13532
"217","District of Columbia","Male","18.and.19",11074
"218","Florida","Male","18.and.19",258363
"219","Georgia","Male","18.and.19",152354
"220","Hawaii","Male","18.and.19",17913
"221","Idaho","Male","18.and.19",22965
"222","Illinois","Male","18.and.19",191576
"223","Indiana","Male","18.and.19",100826
"224","Iowa","Male","18.and.19",47649
"225","Kansas","Male","18.and.19",43736
"226","Kentucky","Male","18.and.19",62116
"227","Louisiana","Male","18.and.19",66813
"228","Maine","Male","18.and.19",19100
"229","Maryland","Male","18.and.19",84132
"230","Massachusetts","Male","18.and.19",102906
"231","Michigan","Male","18.and.19",154440
"232","Minnesota","Male","18.and.19",76532
"233","Mississippi","Male","18.and.19",47180
"234","Missouri","Male","18.and.19",89218
"235","Montana","Male","18.and.19",14803
"236","Nebraska","Male","18.and.19",27473
"237","Nevada","Male","18.and.19",35669
"238","New Hampshire","Male","18.and.19",19699
"239","New Jersey","Male","18.and.19",118776
"240","New Mexico","Male","18.and.19",31114
"241","New York","Male","18.and.19",290675
"242","North Carolina","Male","18.and.19",143445
"243","North Dakota","Male","18.and.19",11717
"244","Ohio","Male","18.and.19",170617
"245","Oklahoma","Male","18.and.19",56912
"246","Oregon","Male","18.and.19",53239
"247","Pennsylvania","Male","18.and.19",196539
"248","Rhode Island","Male","18.and.19",18557
"249","South Carolina","Male","18.and.19",73122
"250","South Dakota","Male","18.and.19",12426
"251","Tennessee","Male","18.and.19",89770
"252","Texas","Male","18.and.19",390520
"253","Utah","Male","18.and.19",43945
"254","Vermont","Male","18.and.19",11148
"255","Virginia","Male","18.and.19",120085
"256","Washington","Male","18.and.19",95083
"257","West Virginia","Male","18.and.19",26442
"258","Wisconsin","Male","18.and.19",84223
"259","Wyoming","Male","18.and.19",8972
"260","Puerto Rico","Male","18.and.19",58106
"261","Alabama","Male","20",37747
"262","Alaska","Male","20",6541
"263","Arizona","Male","20",49891
"264","Arkansas","Male","20",22008
"265","California","Male","20",309104
"266","Colorado","Male","20",37439
"267","Connecticut","Male","20",25822
"268","Delaware","Male","20",6981
"269","District of Columbia","Male","20",6212
"270","Florida","Male","20",143265
"271","Georgia","Male","20",76805
"272","Hawaii","Male","20",11047
"273","Idaho","Male","20",10800
"274","Illinois","Male","20",93967
"275","Indiana","Male","20",50501
"276","Iowa","Male","20",24398
"277","Kansas","Male","20",22503
"278","Kentucky","Male","20",32403
"279","Louisiana","Male","20",37453
"280","Maine","Male","20",9308
"281","Maryland","Male","20",41632
"282","Massachusetts","Male","20",52675
"283","Michigan","Male","20",79409
"284","Minnesota","Male","20",37118
"285","Mississippi","Male","20",25079
"286","Missouri","Male","20",45752
"287","Montana","Male","20",7440
"288","Nebraska","Male","20",13393
"289","Nevada","Male","20",18606
"290","New Hampshire","Male","20",10439
"291","New Jersey","Male","20",60106
"292","New Mexico","Male","20",15340
"293","New York","Male","20",157806
"294","North Carolina","Male","20",75604
"295","North Dakota","Male","20",6831
"296","Ohio","Male","20",85343
"297","Oklahoma","Male","20",28709
"298","Oregon","Male","20",26287
"299","Pennsylvania","Male","20",98288
"300","Rhode Island","Male","20",9927
"301","South Carolina","Male","20",40218
"302","South Dakota","Male","20",6440
"303","Tennessee","Male","20",45515
"304","Texas","Male","20",203513
"305","Utah","Male","20",18706
"306","Vermont","Male","20",6219
"307","Virginia","Male","20",64750
"308","Washington","Male","20",51920
"309","West Virginia","Male","20",13298
"310","Wisconsin","Male","20",42892
"311","Wyoming","Male","20",4743
"312","Puerto Rico","Male","20",31550
"313","Alabama","Male","21",36316
"314","Alaska","Male","21",6609
"315","Arizona","Male","21",48040
"316","Arkansas","Male","21",22030
"317","California","Male","21",300772
"318","Colorado","Male","21",38448
"319","Connecticut","Male","21",25020
"320","Delaware","Male","21",7214
"321","District of Columbia","Male","21",4944
"322","Florida","Male","21",136171
"323","Georgia","Male","21",71678
"324","Hawaii","Male","21",10654
"325","Idaho","Male","21",11209
"326","Illinois","Male","21",93571
"327","Indiana","Male","21",49565
"328","Iowa","Male","21",22893
"329","Kansas","Male","21",22144
"330","Kentucky","Male","21",31963
"331","Louisiana","Male","21",35131
"332","Maine","Male","21",8715
"333","Maryland","Male","21",42704
"334","Massachusetts","Male","21",50403
"335","Michigan","Male","21",73666
"336","Minnesota","Male","21",37165
"337","Mississippi","Male","21",24277
"338","Missouri","Male","21",42466
"339","Montana","Male","21",7479
"340","Nebraska","Male","21",14123
"341","Nevada","Male","21",19529
"342","New Hampshire","Male","21",9068
"343","New Jersey","Male","21",57175
"344","New Mexico","Male","21",15252
"345","New York","Male","21",145829
"346","North Carolina","Male","21",71880
"347","North Dakota","Male","21",6392
"348","Ohio","Male","21",83402
"349","Oklahoma","Male","21",29478
"350","Oregon","Male","21",27991
