"","state","gender","school","age","freq"
"126","Massachusetts","Male","public","25.to.34",24462
"127","Michigan","Male","public","25.to.34",64369
"128","Minnesota","Male","public","25.to.34",30172
"129","Mississippi","Male","public","25.to.34",13336
"130","Missouri","Male","public","25.to.34",28193
"131","Montana","Male","public","25.to.34",5833
"132","Nebraska","Male","public","25.to.34",11524
"133","Nevada","Male","public","25.to.34",14693
"134","New Hampshire","Male","public","25.to.34",4157
"135","New Jersey","Male","public","25.to.34",32138
"136","New Mexico","Male","public","25.to.34",15869
"137","New York","Male","public","25.to.34",75065
"138","North Carolina","Male","public","25.to.34",49365
"139","North Dakota","Male","public","25.to.34",4924
"140","Ohio","Male","public","25.to.34",63041
"141","Oklahoma","Male","public","25.to.34",21745
"142","Oregon","Male","public","25.to.34",27416
"143","Pennsylvania","Male","public","25.to.34",43373
"144","Rhode Island","Male","public","25.to.34",4228
"145","South Carolina","Male","public","25.to.34",21227
"146","South Dakota","Male","public","25.to.34",4430
"147","Tennessee","Male","public","25.to.34",28539
"148","Texas","Male","public","25.to.34",155400
"149","Utah","Male","public","25.to.34",33209
"150","Vermont","Male","public","25.to.34",1914
"151","Virginia","Male","public","25.to.34",49849
"152","Washington","Male","public","25.to.34",41061
"153","West Virginia","Male","public","25.to.34",8461
"154","Wisconsin","Male","public","25.to.34",29507
"155","Wyoming","Male","public","25.to.34",3252
"156","Puerto Rico","Male","public","25.to.34",6602
"157","Alabama","Male","public","35.and.over",14658
"158","Alaska","Male","public","35.and.over",4194
"159","Arizona","Male","public","35.and.over",29912
"160","Arkansas","Male","public","35.and.over",8823
"161","California","Male","public","35.and.over",164805
"162","Colorado","Male","public","35.and.over",22068
"163","Connecticut","Male","public","35.and.over",10001
"164","Delaware","Male","public","35.and.over",3190
"165","District of Columbia","Male","public","35.and.over",1999
"166","Florida","Male","public","35.and.over",64351
"167","Georgia","Male","public","35.and.over",36535
"168","Hawaii","Male","public","35.and.over",6121
"169","Idaho","Male","public","35.and.over",7195
"170","Illinois","Male","public","35.and.over",42107
"171","Indiana","Male","public","35.and.over",24193
"172","Iowa","Male","public","35.and.over",8812
"173","Kansas","Male","public","35.and.over",11584
"174","Kentucky","Male","public","35.and.over",14421
"175","Louisiana","Male","public","35.and.over",10799
"176","Maine","Male","public","35.and.over",4358
"177","Maryland","Male","public","35.and.over",25784
"178","Massachusetts","Male","public","35.and.over",16270
"179","Michigan","Male","public","35.and.over",43771
"180","Minnesota","Male","public","35.and.over",18324
"181","Mississippi","Male","public","35.and.over",8377
"182","Missouri","Male","public","35.and.over",18646
"183","Montana","Male","public","35.and.over",2885
"184","Nebraska","Male","public","35.and.over",6899
"185","Nevada","Male","public","35.and.over",11898
"186","New Hampshire","Male","public","35.and.over",3748
"187","New Jersey","Male","public","35.and.over",21529
"188","New Mexico","Male","public","35.and.over",12395
"189","New York","Male","public","35.and.over",44782
"190","North Carolina","Male","public","35.and.over",41061
"191","North Dakota","Male","public","35.and.over",2438
"192","Ohio","Male","public","35.and.over",42677
"193","Oklahoma","Male","public","35.and.over",13107
"194","Oregon","Male","public","35.and.over",18334
"195","Pennsylvania","Male","public","35.and.over",28694
"196","Rhode Island","Male","public","35.and.over",3085
"197","South Carolina","Male","public","35.and.over",14713
"198","South Dakota","Male","public","35.and.over",2655
"199","Tennessee","Male","public","35.and.over",18884
"200","Texas","Male","public","35.and.over",93006
"201","Utah","Male","public","35.and.over",11387
"202","Vermont","Male","public","35.and.over",1607
"203","Virginia","Male","public","35.and.over",36076
"204","Washington","Male","public","35.and.over",29725
"205","West Virginia","Male","public","35.and.over",5164
"206","Wisconsin","Male","public","35.and.over",20965
"207","Wyoming","Male","public","35.and.over",2458
"208","Puerto Rico","Male","public","35.and.over",3647
"209","Alabama","Male","private","15.to.17",59
"210","Alaska","Male","private","15.to.17",42
"211","Arizona","Male","private","15.to.17",164
"212","Arkansas","Male","private","15.to.17",28
"213","California","Male","private","15.to.17",1339
"214","Colorado","Male","private","15.to.17",148
"215","Connecticut","Male","private","15.to.17",170
"216","Delaware","Male","private","15.to.17",24
"217","District of Columbia","Male","private","15.to.17",66
"218","Florida","Male","private","15.to.17",971
"219","Georgia","Male","private","15.to.17",291
"220","Hawaii","Male","private","15.to.17",55
"221","Idaho","Male","private","15.to.17",8
"222","Illinois","Male","private","15.to.17",421
"223","Indiana","Male","private","15.to.17",56
"224","Iowa","Male","private","15.to.17",98
"225","Kansas","Male","private","15.to.17",0
"226","Kentucky","Male","private","15.to.17",94
"227","Louisiana","Male","private","15.to.17",144
"228","Maine","Male","private","15.to.17",48
"229","Maryland","Male","private","15.to.17",323
"230","Massachusetts","Male","private","15.to.17",588
"231","Michigan","Male","private","15.to.17",279
"232","Minnesota","Male","private","15.to.17",88
"233","Mississippi","Male","private","15.to.17",136
"234","Missouri","Male","private","15.to.17",137
"235","Montana","Male","private","15.to.17",2
"236","Nebraska","Male","private","15.to.17",18
"237","Nevada","Male","private","15.to.17",19
"238","New Hampshire","Male","private","15.to.17",45
"239","New Jersey","Male","private","15.to.17",430
"240","New Mexico","Male","private","15.to.17",180
"241","New York","Male","private","15.to.17",2024
"242","North Carolina","Male","private","15.to.17",171
"243","North Dakota","Male","private","15.to.17",17
"244","Ohio","Male","private","15.to.17",319
"245","Oklahoma","Male","private","15.to.17",138
"246","Oregon","Male","private","15.to.17",35
"247","Pennsylvania","Male","private","15.to.17",687
"248","Rhode Island","Male","private","15.to.17",96
"249","South Carolina","Male","private","15.to.17",157
"250","South Dakota","Male","private","15.to.17",0
"251","Tennessee","Male","private","15.to.17",225
"252","Texas","Male","private","15.to.17",451
"253","Utah","Male","private","15.to.17",114
"254","Vermont","Male","private","15.to.17",38
"255","Virginia","Male","private","15.to.17",289
"256","Washington","Male","private","15.to.17",73
