"","state","gender","school","age","freq"
"592","Maine","Male","not enrolled","35.and.over",372301
"593","Maryland","Male","not enrolled","35.and.over",1407952
"594","Massachusetts","Male","not enrolled","35.and.over",1660161
"595","Michigan","Male","not enrolled","35.and.over",2516246
"596","Minnesota","Male","not enrolled","35.and.over",1334171
"597","Mississippi","Male","not enrolled","35.and.over",700381
"598","Missouri","Male","not enrolled","35.and.over",1488427
"599","Montana","Male","not enrolled","35.and.over",265748
"600","Nebraska","Male","not enrolled","35.and.over",444021
"601","Nevada","Male","not enrolled","35.and.over",682244
"602","New Hampshire","Male","not enrolled","35.and.over",361651
"603","New Jersey","Male","not enrolled","35.and.over",2238000
"604","New Mexico","Male","not enrolled","35.and.over",495651
"605","New York","Male","not enrolled","35.and.over",4782084
"606","North Carolina","Male","not enrolled","35.and.over",2332362
"607","North Dakota","Male","not enrolled","35.and.over",169338
"608","Ohio","Male","not enrolled","35.and.over",2917526
"609","Oklahoma","Male","not enrolled","35.and.over",908535
"610","Oregon","Male","not enrolled","35.and.over",983228
"611","Pennsylvania","Male","not enrolled","35.and.over",3313688
"612","Rhode Island","Male","not enrolled","35.and.over",265075
"613","South Carolina","Male","not enrolled","35.and.over",1144026
"614","South Dakota","Male","not enrolled","35.and.over",204778
"615","Tennessee","Male","not enrolled","35.and.over",1588910
"616","Texas","Male","not enrolled","35.and.over",5718007
"617","Utah","Male","not enrolled","35.and.over",541711
"618","Vermont","Male","not enrolled","35.and.over",171073
"619","Virginia","Male","not enrolled","35.and.over",1970615
"620","Washington","Male","not enrolled","35.and.over",1693401
"621","West Virginia","Male","not enrolled","35.and.over",507215
"622","Wisconsin","Male","not enrolled","35.and.over",1461385
"623","Wyoming","Male","not enrolled","35.and.over",143798
"624","Puerto Rico","Male","not enrolled","35.and.over",881125
"625","Alabama","Female","public","15.to.17",958
"626","Alaska","Female","public","15.to.17",178
"627","Arizona","Female","public","15.to.17",1506
"628","Arkansas","Female","public","15.to.17",357
"629","California","Female","public","15.to.17",13352
"630","Colorado","Female","public","15.to.17",915
"631","Connecticut","Female","public","15.to.17",1089
"632","Delaware","Female","public","15.to.17",179
"633","District of Columbia","Female","public","15.to.17",71
"634","Florida","Female","public","15.to.17",4758
"635","Georgia","Female","public","15.to.17",2284
"636","Hawaii","Female","public","15.to.17",403
"637","Idaho","Female","public","15.to.17",557
"638","Illinois","Female","public","15.to.17",1784
"639","Indiana","Female","public","15.to.17",592
"640","Iowa","Female","public","15.to.17",337
"641","Kansas","Female","public","15.to.17",458
"642","Kentucky","Female","public","15.to.17",450
"643","Louisiana","Female","public","15.to.17",798
"644","Maine","Female","public","15.to.17",151
"645","Maryland","Female","public","15.to.17",1852
"646","Massachusetts","Female","public","15.to.17",937
"647","Michigan","Female","public","15.to.17",2440
"648","Minnesota","Female","public","15.to.17",885
"649","Mississippi","Female","public","15.to.17",614
"650","Missouri","Female","public","15.to.17",745
"651","Montana","Female","public","15.to.17",79
"652","Nebraska","Female","public","15.to.17",236
"653","Nevada","Female","public","15.to.17",663
"654","New Hampshire","Female","public","15.to.17",242
"655","New Jersey","Female","public","15.to.17",1544
"656","New Mexico","Female","public","15.to.17",743
"657","New York","Female","public","15.to.17",5314
"658","North Carolina","Female","public","15.to.17",2095
"659","North Dakota","Female","public","15.to.17",31
"660","Ohio","Female","public","15.to.17",1621
"661","Oklahoma","Female","public","15.to.17",515
"662","Oregon","Female","public","15.to.17",867
"663","Pennsylvania","Female","public","15.to.17",1576
"664","Rhode Island","Female","public","15.to.17",354
"665","South Carolina","Female","public","15.to.17",843
"666","South Dakota","Female","public","15.to.17",63
"667","Tennessee","Female","public","15.to.17",647
"668","Texas","Female","public","15.to.17",5413
"669","Utah","Female","public","15.to.17",412
"670","Vermont","Female","public","15.to.17",104
"671","Virginia","Female","public","15.to.17",1307
"672","Washington","Female","public","15.to.17",1461
"673","West Virginia","Female","public","15.to.17",230
"674","Wisconsin","Female","public","15.to.17",601
"675","Wyoming","Female","public","15.to.17",106
"676","Puerto Rico","Female","public","15.to.17",1097
"677","Alabama","Female","public","18.to.24",92689
"678","Alaska","Female","public","18.to.24",9711
"679","Arizona","Female","public","18.to.24",113907
"680","Arkansas","Female","public","18.to.24",48592
"681","California","Female","public","18.to.24",779111
"682","Colorado","Female","public","18.to.24",89150
"683","Connecticut","Female","public","18.to.24",51710
"684","Delaware","Female","public","18.to.24",19432
"685","District of Columbia","Female","public","18.to.24",4988
"686","Florida","Female","public","18.to.24",325228
"687","Georgia","Female","public","18.to.24",174170
"688","Hawaii","Female","public","18.to.24",19845
"689","Idaho","Female","public","18.to.24",22221
"690","Illinois","Female","public","18.to.24",203375
"691","Indiana","Female","public","18.to.24",112558
"692","Iowa","Female","public","18.to.24",53961
"693","Kansas","Female","public","18.to.24",59195
"694","Kentucky","Female","public","18.to.24",76357
"695","Louisiana","Female","public","18.to.24",81266
"696","Maine","Female","public","18.to.24",18566
"697","Maryland","Female","public","18.to.24",102830
"698","Massachusetts","Female","public","18.to.24",87225
"699","Michigan","Female","public","18.to.24",209445
"700","Minnesota","Female","public","18.to.24",87979
"701","Mississippi","Female","public","18.to.24",64696
"702","Missouri","Female","public","18.to.24",96561
"703","Montana","Female","public","18.to.24",16472
"704","Nebraska","Female","public","18.to.24",34722
"705","Nevada","Female","public","18.to.24",36970
"706","New Hampshire","Female","public","18.to.24",20067
"707","New Jersey","Female","public","18.to.24",131760
"708","New Mexico","Female","public","18.to.24",36884
"709","New York","Female","public","18.to.24",299715
"710","North Carolina","Female","public","18.to.24",171813
"711","North Dakota","Female","public","18.to.24",18397
"712","Ohio","Female","public","18.to.24",195333
"713","Oklahoma","Female","public","18.to.24",64227
"714","Oregon","Female","public","18.to.24",61022
"715","Pennsylvania","Female","public","18.to.24",185372
"716","Rhode Island","Female","public","18.to.24",19396
"717","South Carolina","Female","public","18.to.24",79906
"718","South Dakota","Female","public","18.to.24",15069
"719","Tennessee","Female","public","18.to.24",96360
"720","Texas","Female","public","18.to.24",440037
"721","Utah","Female","public","18.to.24",48246
"722","Vermont","Female","public","18.to.24",11282
"723","Virginia","Female","public","18.to.24",150471
"724","Washington","Female","public","18.to.24",103453
"725","West Virginia","Female","public","18.to.24",31279
"726","Wisconsin","Female","public","18.to.24",106666
"727","Wyoming","Female","public","18.to.24",10478
"728","Puerto Rico","Female","public","18.to.24",45768
"729","Alabama","Female","public","25.to.34",36346
"730","Alaska","Female","public","25.to.34",5910
"731","Arizona","Female","public","25.to.34",50857
"732","Arkansas","Female","public","25.to.34",22388
"733","California","Female","public","25.to.34",299457
"734","Colorado","Female","public","25.to.34",39440
"735","Connecticut","Female","public","25.to.34",19991
"736","Delaware","Female","public","25.to.34",6104
"737","District of Columbia","Female","public","25.to.34",3949
"738","Florida","Female","public","25.to.34",129728
"739","Georgia","Female","public","25.to.34",78626
"740","Hawaii","Female","public","25.to.34",10274
"741","Idaho","Female","public","25.to.34",11105
"742","Illinois","Female","public","25.to.34",81829
"743","Indiana","Female","public","25.to.34",47701
"744","Iowa","Female","public","25.to.34",20369
"745","Kansas","Female","public","25.to.34",22589
"746","Kentucky","Female","public","25.to.34",33380
"747","Louisiana","Female","public","25.to.34",33308
"748","Maine","Female","public","25.to.34",7780
"749","Maryland","Female","public","25.to.34",50531
"750","Massachusetts","Female","public","25.to.34",33047
"751","Michigan","Female","public","25.to.34",83024
"752","Minnesota","Female","public","25.to.34",37610
"753","Mississippi","Female","public","25.to.34",25134
"754","Missouri","Female","public","25.to.34",41974
"755","Montana","Female","public","25.to.34",6988
"756","Nebraska","Female","public","25.to.34",13933
"757","Nevada","Female","public","25.to.34",18904
"758","New Hampshire","Female","public","25.to.34",5434
"759","New Jersey","Female","public","25.to.34",47055
"760","New Mexico","Female","public","25.to.34",20373
"761","New York","Female","public","25.to.34",107911
"762","North Carolina","Female","public","25.to.34",77214
"763","North Dakota","Female","public","25.to.34",5080
"764","Ohio","Female","public","25.to.34",89384
"765","Oklahoma","Female","public","25.to.34",28484
"766","Oregon","Female","public","25.to.34",30847
"767","Pennsylvania","Female","public","25.to.34",61742
"768","Rhode Island","Female","public","25.to.34",6623
"769","South Carolina","Female","public","25.to.34",34998
"770","South Dakota","Female","public","25.to.34",5515
"771","Tennessee","Female","public","25.to.34",41372
"772","Texas","Female","public","25.to.34",202082
"773","Utah","Female","public","25.to.34",20434
"774","Vermont","Female","public","25.to.34",3781
"775","Virginia","Female","public","25.to.34",63465
"776","Washington","Female","public","25.to.34",48399
"777","West Virginia","Female","public","25.to.34",11946
"778","Wisconsin","Female","public","25.to.34",39835
"779","Wyoming","Female","public","25.to.34",4619
"780","Puerto Rico","Female","public","25.to.34",8499
"781","Alabama","Female","public","35.and.over",28492
"782","Alaska","Female","public","35.and.over",7272
"783","Arizona","Female","public","35.and.over",48565
"784","Arkansas","Female","public","35.and.over",20445
"785","California","Female","public","35.and.over",257565
"786","Colorado","Female","public","35.and.over",34259
"787","Connecticut","Female","public","35.and.over",19363
"788","Delaware","Female","public","35.and.over",5919
"789","District of Columbia","Female","public","35.and.over",3022
"790","Florida","Female","public","35.and.over",109118
"791","Georgia","Female","public","35.and.over",72426
"792","Hawaii","Female","public","35.and.over",8321
"793","Idaho","Female","public","35.and.over",11459
"794","Illinois","Female","public","35.and.over",74684
"795","Indiana","Female","public","35.and.over",41963
"796","Iowa","Female","public","35.and.over",15302
"797","Kansas","Female","public","35.and.over",18163
"798","Kentucky","Female","public","35.and.over",25731
"799","Louisiana","Female","public","35.and.over",21587
"800","Maine","Female","public","35.and.over",8682
"801","Maryland","Female","public","35.and.over",50389
"802","Massachusetts","Female","public","35.and.over",33086
"803","Michigan","Female","public","35.and.over",78644
"804","Minnesota","Female","public","35.and.over",28176
"805","Mississippi","Female","public","35.and.over",20003
"806","Missouri","Female","public","35.and.over",33786
"807","Montana","Female","public","35.and.over",5706
"808","Nebraska","Female","public","35.and.over",11442
"809","Nevada","Female","public","35.and.over",17237
"810","New Hampshire","Female","public","35.and.over",6746
"811","New Jersey","Female","public","35.and.over",42509
"812","New Mexico","Female","public","35.and.over",19480
"813","New York","Female","public","35.and.over",83785
"814","North Carolina","Female","public","35.and.over",80079
"815","North Dakota","Female","public","35.and.over",2990
"816","Ohio","Female","public","35.and.over",80981
"817","Oklahoma","Female","public","35.and.over",21760
"818","Oregon","Female","public","35.and.over",28106
"819","Pennsylvania","Female","public","35.and.over",59076
"820","Rhode Island","Female","public","35.and.over",5989
"821","South Carolina","Female","public","35.and.over",31308
"822","South Dakota","Female","public","35.and.over",4640
"823","Tennessee","Female","public","35.and.over",34374
"824","Texas","Female","public","35.and.over",149241
"825","Utah","Female","public","35.and.over",16519
"826","Vermont","Female","public","35.and.over",3474
"827","Virginia","Female","public","35.and.over",56575
"828","Washington","Female","public","35.and.over",44835
"829","West Virginia","Female","public","35.and.over",9953
"830","Wisconsin","Female","public","35.and.over",35851
"831","Wyoming","Female","public","35.and.over",4987
"832","Puerto Rico","Female","public","35.and.over",5716
"833","Alabama","Female","private","15.to.17",68
"834","Alaska","Female","private","15.to.17",14
"835","Arizona","Female","private","15.to.17",128
"836","Arkansas","Female","private","15.to.17",81
"837","California","Female","private","15.to.17",1802
"838","Colorado","Female","private","15.to.17",125
"839","Connecticut","Female","private","15.to.17",501
"840","Delaware","Female","private","15.to.17",0
"841","District of Columbia","Female","private","15.to.17",91
"842","Florida","Female","private","15.to.17",1307
"843","Georgia","Female","private","15.to.17",345
"844","Hawaii","Female","private","15.to.17",53
"845","Idaho","Female","private","15.to.17",113
"846","Illinois","Female","private","15.to.17",584
"847","Indiana","Female","private","15.to.17",108
"848","Iowa","Female","private","15.to.17",146
"849","Kansas","Female","private","15.to.17",10
"850","Kentucky","Female","private","15.to.17",272
"851","Louisiana","Female","private","15.to.17",225
"852","Maine","Female","private","15.to.17",111
"853","Maryland","Female","private","15.to.17",778
"854","Massachusetts","Female","private","15.to.17",1323
"855","Michigan","Female","private","15.to.17",308
"856","Minnesota","Female","private","15.to.17",185
"857","Mississippi","Female","private","15.to.17",111
"858","Missouri","Female","private","15.to.17",207
"859","Montana","Female","private","15.to.17",28
"860","Nebraska","Female","private","15.to.17",49
"861","Nevada","Female","private","15.to.17",53
"862","New Hampshire","Female","private","15.to.17",132
"863","New Jersey","Female","private","15.to.17",470
"864","New Mexico","Female","private","15.to.17",70
"865","New York","Female","private","15.to.17",3080
"866","North Carolina","Female","private","15.to.17",497
"867","North Dakota","Female","private","15.to.17",0
"868","Ohio","Female","private","15.to.17",560
"869","Oklahoma","Female","private","15.to.17",85
"870","Oregon","Female","private","15.to.17",82
"871","Pennsylvania","Female","private","15.to.17",962
"872","Rhode Island","Female","private","15.to.17",155
"873","South Carolina","Female","private","15.to.17",190
"874","South Dakota","Female","private","15.to.17",5
"875","Tennessee","Female","private","15.to.17",206
"876","Texas","Female","private","15.to.17",736
"877","Utah","Female","private","15.to.17",248
"878","Vermont","Female","private","15.to.17",41
"879","Virginia","Female","private","15.to.17",489
"880","Washington","Female","private","15.to.17",148
"881","West Virginia","Female","private","15.to.17",52
"882","Wisconsin","Female","private","15.to.17",83
"883","Wyoming","Female","private","15.to.17",10
"884","Puerto Rico","Female","private","15.to.17",1421
"885","Alabama","Female","private","18.to.24",15671
"886","Alaska","Female","private","18.to.24",1454
"887","Arizona","Female","private","18.to.24",11955
"888","Arkansas","Female","private","18.to.24",8918
"889","California","Female","private","18.to.24",154836
"890","Colorado","Female","private","18.to.24",16482
"891","Connecticut","Female","private","18.to.24",34512
"892","Delaware","Female","private","18.to.24",4178
"893","District of Columbia","Female","private","18.to.24",20098
"894","Florida","Female","private","18.to.24",78103
"895","Georgia","Female","private","18.to.24",42306
"896","Hawaii","Female","private","18.to.24",6669
"897","Idaho","Female","private","18.to.24",9484
"898","Illinois","Female","private","18.to.24",90574
"899","Indiana","Female","private","18.to.24",36443
"900","Iowa","Female","private","18.to.24",22745
"901","Kansas","Female","private","18.to.24",8448
"902","Kentucky","Female","private","18.to.24",15194
"903","Louisiana","Female","private","18.to.24",17139
"904","Maine","Female","private","18.to.24",8560
"905","Maryland","Female","private","18.to.24",30695
"906","Massachusetts","Female","private","18.to.24",112161
"907","Michigan","Female","private","18.to.24",36716
"908","Minnesota","Female","private","18.to.24",34989
"909","Mississippi","Female","private","18.to.24",8151
"910","Missouri","Female","private","18.to.24",35441
"911","Montana","Female","private","18.to.24",2429
"912","Nebraska","Female","private","18.to.24",11499
"913","Nevada","Female","private","18.to.24",5836
"914","New Hampshire","Female","private","18.to.24",12380
"915","New Jersey","Female","private","18.to.24",55067
"916","New Mexico","Female","private","18.to.24",4073
"917","New York","Female","private","18.to.24",206319
"918","North Carolina","Female","private","18.to.24",41180
"919","North Dakota","Female","private","18.to.24",2630
"920","Ohio","Female","private","18.to.24",64258
"921","Oklahoma","Female","private","18.to.24",11378
"922","Oregon","Female","private","18.to.24",15543
"923","Pennsylvania","Female","private","18.to.24",132906
"924","Rhode Island","Female","private","18.to.24",16945
"925","South Carolina","Female","private","18.to.24",22717
"926","South Dakota","Female","private","18.to.24",3145
"927","Tennessee","Female","private","18.to.24",30941
"928","Texas","Female","private","18.to.24",80017
"929","Utah","Female","private","18.to.24",22894
"930","Vermont","Female","private","18.to.24",5980
"931","Virginia","Female","private","18.to.24",40897
"932","Washington","Female","private","18.to.24",25245
"933","West Virginia","Female","private","18.to.24",5713
"934","Wisconsin","Female","private","18.to.24",27625
"935","Wyoming","Female","private","18.to.24",802
"936","Puerto Rico","Female","private","18.to.24",54602
"937","Alabama","Female","private","25.to.34",6785
"938","Alaska","Female","private","25.to.34",1368
"939","Arizona","Female","private","25.to.34",13738
"940","Arkansas","Female","private","25.to.34",3713
"941","California","Female","private","25.to.34",106102
"942","Colorado","Female","private","25.to.34",11750
"943","Connecticut","Female","private","25.to.34",12456
"944","Delaware","Female","private","25.to.34",2187
"945","District of Columbia","Female","private","25.to.34",6927
"946","Florida","Female","private","25.to.34",53443
"947","Georgia","Female","private","25.to.34",26521
"948","Hawaii","Female","private","25.to.34",4105
"949","Idaho","Female","private","25.to.34",2631
"950","Illinois","Female","private","25.to.34",51692
"951","Indiana","Female","private","25.to.34",12149
"952","Iowa","Female","private","25.to.34",6555
"953","Kansas","Female","private","25.to.34",5067
"954","Kentucky","Female","private","25.to.34",7879
"955","Louisiana","Female","private","25.to.34",8919
"956","Maine","Female","private","25.to.34",2729
"957","Maryland","Female","private","25.to.34",20407
"958","Massachusetts","Female","private","25.to.34",36213
"959","Michigan","Female","private","25.to.34",20328
"960","Minnesota","Female","private","25.to.34",14425
"961","Mississippi","Female","private","25.to.34",5002
"962","Missouri","Female","private","25.to.34",18649
"963","Montana","Female","private","25.to.34",1112
"964","Nebraska","Female","private","25.to.34",4561
"965","Nevada","Female","private","25.to.34",5490
"966","New Hampshire","Female","private","25.to.34",3771
"967","New Jersey","Female","private","25.to.34",25684
"968","New Mexico","Female","private","25.to.34",3159
"969","New York","Female","private","25.to.34",86372
"970","North Carolina","Female","private","25.to.34",20222
"971","North Dakota","Female","private","25.to.34",1097
"972","Ohio","Female","private","25.to.34",27585
"973","Oklahoma","Female","private","25.to.34",6272
"974","Oregon","Female","private","25.to.34",7666
"975","Pennsylvania","Female","private","25.to.34",42354
"976","Rhode Island","Female","private","25.to.34",3667
"977","South Carolina","Female","private","25.to.34",8965
"978","South Dakota","Female","private","25.to.34",1053
"979","Tennessee","Female","private","25.to.34",14337
"980","Texas","Female","private","25.to.34",42247
"981","Utah","Female","private","25.to.34",5978
"982","Vermont","Female","private","25.to.34",1682
"983","Virginia","Female","private","25.to.34",22586
"984","Washington","Female","private","25.to.34",12531
"985","West Virginia","Female","private","25.to.34",2431
"986","Wisconsin","Female","private","25.to.34",13492
"987","Wyoming","Female","private","25.to.34",657
"988","Puerto Rico","Female","private","25.to.34",25374
"989","Alabama","Female","private","35.and.over",7419
"990","Alaska","Female","private","35.and.over",1909
"991","Arizona","Female","private","35.and.over",16751
"992","Arkansas","Female","private","35.and.over",4420
"993","California","Female","private","35.and.over",96017
"994","Colorado","Female","private","35.and.over",14994
"995","Connecticut","Female","private","35.and.over",12685
"996","Delaware","Female","private","35.and.over",3146
"997","District of Columbia","Female","private","35.and.over",2868
"998","Florida","Female","private","35.and.over",59826
"999","Georgia","Female","private","35.and.over",34360
"1000","Hawaii","Female","private","35.and.over",4041
"1001","Idaho","Female","private","35.and.over",3505
"1002","Illinois","Female","private","35.and.over",39373
"1003","Indiana","Female","private","35.and.over",14076
"1004","Iowa","Female","private","35.and.over",7051
"1005","Kansas","Female","private","35.and.over",6232
"1006","Kentucky","Female","private","35.and.over",8481
"1007","Louisiana","Female","private","35.and.over",7781
"1008","Maine","Female","private","35.and.over",4087
"1009","Maryland","Female","private","35.and.over",21720
"1010","Massachusetts","Female","private","35.and.over",24573
"1011","Michigan","Female","private","35.and.over",24024
"1012","Minnesota","Female","private","35.and.over",14347
"1013","Mississippi","Female","private","35.and.over",5586
"1014","Missouri","Female","private","35.and.over",16754
"1015","Montana","Female","private","35.and.over",1270
"1016","Nebraska","Female","private","35.and.over",3741
"1017","Nevada","Female","private","35.and.over",7182
"1018","New Hampshire","Female","private","35.and.over",4486
"1019","New Jersey","Female","private","35.and.over",26097
"1020","New Mexico","Female","private","35.and.over",4027
"1021","New York","Female","private","35.and.over",65785
"1022","North Carolina","Female","private","35.and.over",22937
"1023","North Dakota","Female","private","35.and.over",1049
"1024","Ohio","Female","private","35.and.over",31106
"1025","Oklahoma","Female","private","35.and.over",6445
"1026","Oregon","Female","private","35.and.over",8944
"1027","Pennsylvania","Female","private","35.and.over",40836
"1028","Rhode Island","Female","private","35.and.over",3054
"1029","South Carolina","Female","private","35.and.over",10363
"1030","South Dakota","Female","private","35.and.over",1568
"1031","Tennessee","Female","private","35.and.over",14677
"1032","Texas","Female","private","35.and.over",45564
"1033","Utah","Female","private","35.and.over",5407
"1034","Vermont","Female","private","35.and.over",1715
"1035","Virginia","Female","private","35.and.over",26261
"1036","Washington","Female","private","35.and.over",14482
"1037","West Virginia","Female","private","35.and.over",3388
"1038","Wisconsin","Female","private","35.and.over",16574
"1039","Wyoming","Female","private","35.and.over",859
"1040","Puerto Rico","Female","private","35.and.over",16489
"1041","Alabama","Female","not enrolled","15.to.17",94790
"1042","Alaska","Female","not enrolled","15.to.17",15116
"1043","Arizona","Female","not enrolled","15.to.17",129668
"1044","Arkansas","Female","not enrolled","15.to.17",57274
"1045","California","Female","not enrolled","15.to.17",790811
"1046","Colorado","Female","not enrolled","15.to.17",96040
"1047","Connecticut","Female","not enrolled","15.to.17",72223
"1048","Delaware","Female","not enrolled","15.to.17",17335
"1049","District of Columbia","Female","not enrolled","15.to.17",8357
"1050","Florida","Female","not enrolled","15.to.17",341608
"1051","Georgia","Female","not enrolled","15.to.17",200727
"1052","Hawaii","Female","not enrolled","15.to.17",24463
"1053","Idaho","Female","not enrolled","15.to.17",32468
"1054","Illinois","Female","not enrolled","15.to.17",264928
"1055","Indiana","Female","not enrolled","15.to.17",133647
"1056","Iowa","Female","not enrolled","15.to.17",60616
"1057","Kansas","Female","not enrolled","15.to.17",57068
"1058","Kentucky","Female","not enrolled","15.to.17",82512
"1059","Louisiana","Female","not enrolled","15.to.17",91398
"1060","Maine","Female","not enrolled","15.to.17",24937
"1061","Maryland","Female","not enrolled","15.to.17",114925
"1062","Massachusetts","Female","not enrolled","15.to.17",124033
"1063","Michigan","Female","not enrolled","15.to.17",207896
"1064","Minnesota","Female","not enrolled","15.to.17",105606
"1065","Mississippi","Female","not enrolled","15.to.17",63856
"1066","Missouri","Female","not enrolled","15.to.17",119348
"1067","Montana","Female","not enrolled","15.to.17",18940
"1068","Nebraska","Female","not enrolled","15.to.17",36382
"1069","Nevada","Female","not enrolled","15.to.17",53420
"1070","New Hampshire","Female","not enrolled","15.to.17",26280
"1071","New Jersey","Female","not enrolled","15.to.17",177772
"1072","New Mexico","Female","not enrolled","15.to.17",41955
"1073","New York","Female","not enrolled","15.to.17",375793
"1074","North Carolina","Female","not enrolled","15.to.17",182313
"1075","North Dakota","Female","not enrolled","15.to.17",12116
"1076","Ohio","Female","not enrolled","15.to.17",234489
"1077","Oklahoma","Female","not enrolled","15.to.17",73348
"1078","Oregon","Female","not enrolled","15.to.17",71677
"1079","Pennsylvania","Female","not enrolled","15.to.17",246766
"1080","Rhode Island","Female","not enrolled","15.to.17",19906
"1081","South Carolina","Female","not enrolled","15.to.17",88685
"1082","South Dakota","Female","not enrolled","15.to.17",16504
"1083","Tennessee","Female","not enrolled","15.to.17",123299
"1084","Texas","Female","not enrolled","15.to.17",538856
"1085","Utah","Female","not enrolled","15.to.17",62123
"1086","Vermont","Female","not enrolled","15.to.17",11968
"1087","Virginia","Female","not enrolled","15.to.17",152346
"1088","Washington","Female","not enrolled","15.to.17",130723
"1089","West Virginia","Female","not enrolled","15.to.17",32587
"1090","Wisconsin","Female","not enrolled","15.to.17",113650
"1091","Wyoming","Female","not enrolled","15.to.17",10470
"1092","Puerto Rico","Female","not enrolled","15.to.17",79468
"1093","Alabama","Female","not enrolled","18.to.24",131142
"1094","Alaska","Female","not enrolled","18.to.24",23822
"1095","Arizona","Female","not enrolled","18.to.24",179901
"1096","Arkansas","Female","not enrolled","18.to.24",83267
"1097","California","Female","not enrolled","18.to.24",950236
"1098","Colorado","Female","not enrolled","18.to.24",130618
"1099","Connecticut","Female","not enrolled","18.to.24",73385
"1100","Delaware","Female","not enrolled","18.to.24",21900
"1101","District of Columbia","Female","not enrolled","18.to.24",21106
"1102","Florida","Female","not enrolled","18.to.24",452353
"1103","Georgia","Female","not enrolled","18.to.24",266032
"1104","Hawaii","Female","not enrolled","18.to.24",33912
"1105","Idaho","Female","not enrolled","18.to.24",44827
"1106","Illinois","Female","not enrolled","18.to.24",316353
"1107","Indiana","Female","not enrolled","18.to.24",172842
"1108","Iowa","Female","not enrolled","18.to.24",73982
"1109","Kansas","Female","not enrolled","18.to.24",72222
"1110","Kentucky","Female","not enrolled","18.to.24",112523
"1111","Louisiana","Female","not enrolled","18.to.24",137658
"1112","Maine","Female","not enrolled","18.to.24",29868
"1113","Maryland","Female","not enrolled","18.to.24",139995
"1114","Massachusetts","Female","not enrolled","18.to.24",140624
"1115","Michigan","Female","not enrolled","18.to.24",235840
"1116","Minnesota","Female","not enrolled","18.to.24",125447
"1117","Mississippi","Female","not enrolled","18.to.24",80699
"1118","Missouri","Female","not enrolled","18.to.24",159638
"1119","Montana","Female","not enrolled","18.to.24",27109
"1120","Nebraska","Female","not enrolled","18.to.24",43610
"1121","Nevada","Female","not enrolled","18.to.24",78299
"1122","New Hampshire","Female","not enrolled","18.to.24",29093
"1123","New Jersey","Female","not enrolled","18.to.24",183547
"1124","New Mexico","Female","not enrolled","18.to.24",58870
"1125","New York","Female","not enrolled","18.to.24",469553
"1126","North Carolina","Female","not enrolled","18.to.24",248642
"1127","North Dakota","Female","not enrolled","18.to.24",17960
"1128","Ohio","Female","not enrolled","18.to.24",283321
"1129","Oklahoma","Female","not enrolled","18.to.24",110777
"1130","Oregon","Female","not enrolled","18.to.24",100124
"1131","Pennsylvania","Female","not enrolled","18.to.24",302791
"1132","Rhode Island","Female","not enrolled","18.to.24",23544
"1133","South Carolina","Female","not enrolled","18.to.24",130588
"1134","South Dakota","Female","not enrolled","18.to.24",21423
"1135","Tennessee","Female","not enrolled","18.to.24",176165
"1136","Texas","Female","not enrolled","18.to.24",737029
"1137","Utah","Female","not enrolled","18.to.24",89346
"1138","Vermont","Female","not enrolled","18.to.24",14228
"1139","Virginia","Female","not enrolled","18.to.24",201396
"1140","Washington","Female","not enrolled","18.to.24",187480
"1141","West Virginia","Female","not enrolled","18.to.24",46323
"1142","Wisconsin","Female","not enrolled","18.to.24",136816
"1143","Wyoming","Female","not enrolled","18.to.24",15354
"1144","Puerto Rico","Female","not enrolled","18.to.24",87317
"1145","Alabama","Female","not enrolled","25.to.34",265569
"1146","Alaska","Female","not enrolled","25.to.34",41746
"1147","Arizona","Female","not enrolled","25.to.34",357522
"1148","Arkansas","Female","not enrolled","25.to.34",161359
"1149","California","Female","not enrolled","25.to.34",2206109
"1150","Colorado","Female","not enrolled","25.to.34",302351
"1151","Connecticut","Female","not enrolled","25.to.34",178163
"1152","Delaware","Female","not enrolled","25.to.34",48427
"1153","District of Columbia","Female","not enrolled","25.to.34",55576
"1154","Florida","Female","not enrolled","25.to.34",963682
"1155","Georgia","Female","not enrolled","25.to.34",571790
"1156","Hawaii","Female","not enrolled","25.to.34",76017
"1157","Idaho","Female","not enrolled","25.to.34",88285
"1158","Illinois","Female","not enrolled","25.to.34",750929
"1159","Indiana","Female","not enrolled","25.to.34",351783
"1160","Iowa","Female","not enrolled","25.to.34",160200
"1161","Kansas","Female","not enrolled","25.to.34",156889
"1162","Kentucky","Female","not enrolled","25.to.34",239547
"1163","Louisiana","Female","not enrolled","25.to.34",270439
"1164","Maine","Female","not enrolled","25.to.34",62908
"1165","Maryland","Female","not enrolled","25.to.34",319597
"1166","Massachusetts","Female","not enrolled","25.to.34",362872
"1167","Michigan","Female","not enrolled","25.to.34",483808
"1168","Minnesota","Female","not enrolled","25.to.34",301888
"1169","Mississippi","Female","not enrolled","25.to.34",164552
"1170","Missouri","Female","not enrolled","25.to.34",327823
"1171","Montana","Female","not enrolled","25.to.34",50858
"1172","Nebraska","Female","not enrolled","25.to.34",101540
"1173","Nevada","Female","not enrolled","25.to.34",164871
"1174","New Hampshire","Female","not enrolled","25.to.34",63066
"1175","New Jersey","Female","not enrolled","25.to.34",483985
"1176","New Mexico","Female","not enrolled","25.to.34",107754
"1177","New York","Female","not enrolled","25.to.34",1159416
"1178","North Carolina","Female","not enrolled","25.to.34",534061
